Fid,trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,Label
10.42.0.211-69.147.82.61-35460-443-6,9079849,3/31/2022 20:00,3/31/2022 20:09,3422,498,174,Canal St & Madison St,31,Franklin St & Chicago Ave,Subscriber,Male,1985,1
10.42.0.211-104.97.95.172-41366-80-6,9079641,3/31/2022 19:31,3/31/2022 19:39,3663,497,327,Sheffield Ave & Webster Ave,141,Clark St & Lincoln Ave,Subscriber,Female,1993,0
151.101.20.166-10.42.0.151-443-49014-6,9079619,3/31/2022 19:28,3/31/2022 20:04,1262,2162,212,Orleans St & Ohio St,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1983,1
10.42.0.1-10.42.0.42-53-7494-17,9079606,3/31/2022 19:27,3/31/2022 19:33,2008,350,118,Sedgwick St & North Ave,143,Sedgwick St & Webster Ave,Subscriber,Male,1987,0
183.79.250.251-10.42.0.211-443-54364-6,9079578,3/31/2022 19:24,3/31/2022 19:29,3382,321,67,Sheffield Ave & Fullerton Ave,166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1991,1
10.42.0.211-103.235.46.212-55431-443-6,9079427,3/31/2022 19:08,3/31/2022 19:14,1887,385,349,Halsted St & Wrightwood Ave,144,Larrabee St & Webster Ave,Subscriber,Male,1967,0
10.42.0.211-104.88.89.135-50251-443-6,9079426,3/31/2022 19:08,3/31/2022 19:20,2007,728,107,Desplaines St & Jackson Blvd,320,Loomis St & Lexington St,Subscriber,Male,1973,1
140.205.230.8-10.42.0.211-80-43649-6,9079416,3/31/2022 19:07,3/31/2022 19:09,703,152,333,Ashland Ave & Blackhawk St,61,Wood St & Milwaukee Ave,Subscriber,Male,1991,1
172.217.9.238-10.42.0.151-443-37720-6,9079396,3/31/2022 19:05,3/31/2022 19:14,4016,522,164,Franklin St & Lake St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1987,1
10.42.0.1-10.42.0.42-53-63095-17,9079359,3/31/2022 19:01,3/31/2022 19:07,2695,416,74,Kingsbury St & Erie St,77,Clinton St & Madison St,Subscriber,Male,1987,1
10.42.0.151-10.42.0.1-26898-53-17,9079268,3/31/2022 18:53,3/31/2022 19:06,2054,823,43,Michigan Ave & Washington St,88,May St & Randolph St,Subscriber,Female,1962,1
10.42.0.211-115.239.210.141-58836-80-6,9079173,3/31/2022 18:46,3/31/2022 19:06,1705,1204,93,Sheffield Ave & Willow St,154,Southport Ave & Belmont Ave,Subscriber,Male,1982,1
198.11.190.8-10.42.0.211-443-58986-6,9079139,3/31/2022 18:43,3/31/2022 19:05,4232,1309,85,Michigan Ave & Oak St,210,Ashland Ave & Division St,Customer,,1983,1
10.42.0.211-123.125.115.164-54990-443-6,9078955,3/31/2022 18:30,3/31/2022 18:44,3719,857,44,State St & Randolph St,138,Clybourn Ave & Division St,Subscriber,Male,1984,1
172.217.9.234-10.42.0.151-443-43366-6,9078928,3/31/2022 18:27,3/31/2022 18:33,2078,376,59,Wabash Ave & Roosevelt Rd,178,State St & 19th St,Subscriber,Male,1959,0
8.41.222.241-10.42.0.211-443-39623-6,9078647,3/31/2022 18:09,3/31/2022 18:20,664,618,53,Wells St & Huron St,43,Michigan Ave & Washington St,Subscriber,Male,1963,1
10.42.0.211-52.77.147.38-51023-80-6,9078644,3/31/2022 18:09,3/31/2022 18:14,4250,284,37,Dearborn St & Adams St,41,Federal St & Polk St,Subscriber,Male,1982,0
172.217.12.202-10.42.0.211-443-57546-6,9078638,3/31/2022 18:09,3/31/2022 18:18,2199,547,66,Clinton St & Lake St,86,Eckhart Park,Subscriber,Male,1989,0
10.42.0.211-52.84.37.172-59133-443-6,9078436,3/31/2022 17:59,3/31/2022 18:03,2885,256,322,Kimbark Ave & 53rd St,423,University Ave & 57th St,Subscriber,Male,1988,0
172.217.6.203-10.42.0.151-80-44651-6,9078424,3/31/2022 17:58,3/31/2022 18:06,490,468,71,Morgan St & Lake St,75,Canal St & Jackson Blvd,Subscriber,Female,1991,1
173.194.204.188-10.42.0.151-5228-57454-6,9078375,3/31/2022 17:55,3/31/2022 18:05,1312,583,98,LaSalle St & Washington St,110,Dearborn St & Erie St,Subscriber,Male,1965,1
172.217.9.238-10.42.0.211-443-52351-6,9078301,3/31/2022 17:52,3/31/2022 17:54,3980,148,212,Orleans St & Ohio St,212,Orleans St & Ohio St,Subscriber,Male,1982,1
173.194.175.188-10.42.0.151-5228-42666-6,9078286,3/31/2022 17:51,3/31/2022 18:05,1699,874,118,Sedgwick St & North Ave,17,Wood St & Division St,Subscriber,Male,1973,0
10.42.0.211-10.42.0.1-49670-53-17,9078225,3/31/2022 17:48,3/31/2022 17:53,4250,285,41,Federal St & Polk St,37,Dearborn St & Adams St,Subscriber,Male,1982,1
172.217.10.110-10.42.0.151-443-56634-6,9078215,3/31/2022 17:48,3/31/2022 17:57,4431,561,53,Wells St & Huron St,85,Michigan Ave & Oak St,Subscriber,Male,1965,1
10.42.0.211-10.42.0.1-56921-53-17,9078202,3/31/2022 17:47,3/31/2022 17:52,408,272,303,Broadway & Cornelia Ave,304,Broadway & Waveland Ave,Subscriber,Male,1984,0
172.217.9.234-10.42.0.151-443-38102-6,9078066,3/31/2022 17:39,3/31/2022 17:45,2959,315,13,Wilton Ave & Diversey Pkwy,319,Greenview Ave & Diversey Pkwy,Subscriber,Male,1987,0
206.126.112.142-10.42.0.151-443-48715-6,9078008,3/31/2022 17:36,3/31/2022 17:50,1054,866,460,Clark St & Bryn Mawr Ave,447,Glenwood Ave & Morse Ave,Subscriber,Female,1968,0
10.42.0.151-104.244.43.99-58130-443-6,9078000,3/31/2022 17:35,3/31/2022 17:58,1997,1339,2,Michigan Ave & Balbo Ave,6,Dusable Harbor,Customer,,1983,0
203.205.158.61-10.42.0.151-80-32777-6,9077889,3/31/2022 17:31,3/31/2022 17:52,3274,1255,39,Wabash Ave & Adams St,186,Ogden Ave & Race Ave,Subscriber,Female,1981,0
172.217.12.130-10.42.0.211-443-36143-6,9077872,3/31/2022 17:30,3/31/2022 17:39,3677,584,181,LaSalle St & Illinois St,195,Columbus Dr & Randolph St,Subscriber,Male,1994,0
10.42.0.211-64.71.142.124-60630-443-6,9077846,3/31/2022 17:29,3/31/2022 17:35,4674,371,44,State St & Randolph St,161,Rush St & Superior St,Subscriber,Male,1984,1
140.205.230.8-10.42.0.211-80-43650-6,9077700,3/31/2022 17:23,3/31/2022 17:34,2088,620,287,Franklin St & Monroe St,182,Wells St & Elm St,Subscriber,Male,1991,0
10.42.0.151-101.226.103.112-46206-80-6,9077660,3/31/2022 17:22,3/31/2022 17:51,2954,1788,286,Franklin St & Quincy St,127,Lincoln Ave & Fullerton Ave,Subscriber,Female,1968,0
10.42.0.211-10.42.0.1-60591-53-17,9077628,3/31/2022 17:20,3/31/2022 17:23,237,149,210,Ashland Ave & Division St,29,Noble St & Milwaukee Ave,Subscriber,Male,1985,1
10.42.0.211-10.42.0.1-10707-53-17,9077541,3/31/2022 17:17,3/31/2022 17:29,4726,731,71,Morgan St & Lake St,33,State St & Van Buren St,Subscriber,Male,1986,0
10.42.0.211-113.200.98.174-54228-80-6,9077442,3/31/2022 17:13,3/31/2022 17:24,4598,623,36,Franklin St & Jackson Blvd,72,Wabash Ave & 16th St,Subscriber,Male,1981,0
183.79.250.123-10.42.0.211-80-51554-6,9077313,3/31/2022 17:10,3/31/2022 17:24,2166,853,174,Canal St & Madison St,196,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1987,1
10.42.0.211-104.192.110.245-33527-80-6,9077257,3/31/2022 17:08,3/31/2022 17:13,1464,352,199,Wabash Ave & Grand Ave,111,Sedgwick St & Huron St,Subscriber,Male,1988,1
10.42.0.42-13.32.234.102-35507-443-6,9077191,3/31/2022 17:05,3/31/2022 17:18,2117,765,66,Clinton St & Lake St,176,Clark St & Elm St,Subscriber,Male,1984,0
180.149.136.194-10.42.0.42-443-60963-6,9077149,3/31/2022 17:03,3/31/2022 17:14,2495,642,315,Elston Ave & Wabansia Ave,288,Larrabee St & Armitage Ave,Subscriber,Male,1981,1
10.42.0.42-23.194.140.226-54685-80-6,9077114,3/31/2022 17:01,3/31/2022 17:08,1745,395,272,Indiana Ave & 31st St,184,State St & 35th St,Subscriber,Female,1989,1
10.42.0.211-10.42.0.1-44303-53-17,9077086,3/31/2022 17:00,3/31/2022 17:14,3179,841,263,Rhodes Ave & 32nd St,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1963,0
10.42.0.211-104.88.106.16-45648-80-6,9077045,3/31/2022 16:57,3/31/2022 17:03,4176,339,182,Wells St & Elm St,289,Wells St & Concord Ln,Subscriber,Male,1991,0
10.42.0.211-10.42.0.1-45231-53-17,9076993,3/31/2022 16:54,3/31/2022 17:02,6,487,174,Canal St & Madison St,74,Kingsbury St & Erie St,Subscriber,Male,1991,0
10.42.0.211-14.29.93.254-55434-80-6,9076898,3/31/2022 16:48,3/31/2022 17:07,2229,1143,212,Orleans St & Ohio St,156,Clark St & Wellington Ave,Subscriber,Male,1989,1
10.42.0.211-23.206.166.62-59019-80-6,9076888,3/31/2022 16:48,3/31/2022 17:00,3536,737,47,State St & Kinzie St,192,Canal St & Adams St,Subscriber,Female,1973,1
10.42.0.211-52.197.242.223-42540-443-6,9076885,3/31/2022 16:48,3/31/2022 16:56,348,509,43,Michigan Ave & Washington St,192,Canal St & Adams St,Subscriber,Male,1966,1
10.42.0.151-23.208.87.120-44256-80-6,9076797,3/31/2022 16:43,3/31/2022 16:53,71,601,110,Dearborn St & Erie St,75,Canal St & Jackson Blvd,Subscriber,Female,1959,0
172.217.9.238-10.42.0.151-443-40159-6,9076772,3/31/2022 16:41,3/31/2022 16:45,2471,263,59,Wabash Ave & Roosevelt Rd,72,Wabash Ave & 16th St,Subscriber,Female,1963,0
10.42.0.211-123.125.115.164-46939-443-6,9076649,3/31/2022 16:34,3/31/2022 16:43,4239,542,127,Lincoln Ave & Fullerton Ave,58,Marshfield Ave & Cortland St,Subscriber,Male,1974,0
10.42.0.1-10.42.0.42-53-25641-17,9076523,3/31/2022 16:27,3/31/2022 16:45,1338,1082,77,Clinton St & Madison St,183,Damen Ave & Augusta Blvd,Subscriber,Male,1991,1
10.42.0.211-52.200.94.1-48208-443-6,9076414,3/31/2022 16:20,3/31/2022 16:47,1577,1582,35,Streeter Dr & Grand Ave,3,Shedd Aquarium,Customer,,1983,0
10.42.0.211-23.194.141.104-43123-443-6,9076377,3/31/2022 16:18,3/31/2022 16:22,4366,206,192,Canal St & Adams St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1990,1
219.146.248.94-10.42.0.211-80-46864-6,9076308,3/31/2022 16:13,3/31/2022 16:25,2048,740,169,Canal St & Harrison St,43,Michigan Ave & Washington St,Customer,,1983,0
172.217.3.99-10.42.0.42-443-56482-6,9076248,3/31/2022 16:10,3/31/2022 16:26,1743,997,110,Dearborn St & Erie St,5,State St & Harrison St,Subscriber,Male,1994,0
172.217.12.164-10.42.0.211-443-48268-6,9076147,3/31/2022 16:01,3/31/2022 16:04,1090,171,172,Rush St & Cedar St,180,Ritchie Ct & Banks St,Subscriber,Male,1970,1
10.42.0.211-123.125.29.138-50333-80-6,9076142,3/31/2022 16:01,3/31/2022 16:39,657,2265,349,Halsted St & Wrightwood Ave,211,St. Clair St & Erie St,Subscriber,Female,1957,0
10.42.0.211-104.118.220.50-60572-443-6,9076089,3/31/2022 15:56,3/31/2022 16:22,3312,1542,177,Theater on the Lake,35,Streeter Dr & Grand Ave,Customer,,1983,1
10.42.0.151-123.59.190.237-34236-80-6,9076054,3/31/2022 15:52,3/31/2022 16:04,1871,687,175,Wells St & Polk St,51,Clark St & Randolph St,Subscriber,Male,1961,0
10.42.0.211-10.42.0.1-2468-53-17,9075960,3/31/2022 15:41,3/31/2022 15:52,204,682,299,Halsted St & Roscoe St,251,Clarendon Ave & Leland Ave,Subscriber,Male,1965,0
205.185.216.42-10.42.0.211-80-49301-6,9075941,3/31/2022 15:37,3/31/2022 15:46,96,527,238,Ravenswood Ave & Montrose Ave (*),478,Rockwell St & Eastwood Ave,Subscriber,Male,1967,1
10.42.0.151-10.42.0.1-22406-53-17,9075902,3/31/2022 15:33,3/31/2022 16:04,3674,1830,67,Sheffield Ave & Fullerton Ave,89,Financial Pl & Congress Pkwy,Subscriber,Female,1994,0
172.217.11.14-10.42.0.211-443-43702-6,9075810,3/31/2022 15:24,3/31/2022 15:54,3103,1775,85,Michigan Ave & Oak St,84,Union Ave & Grand Ave,Customer,,1985,1
172.217.10.42-10.42.0.211-443-59791-6,9075782,3/31/2022 15:21,3/31/2022 15:44,693,1420,174,Canal St & Madison St,160,Campbell Ave & North Ave,Subscriber,Female,1990,1
172.217.3.97-10.42.0.211-443-52770-6,9075755,3/31/2022 15:19,3/31/2022 15:23,4682,232,199,Wabash Ave & Grand Ave,337,Clark St & Chicago Ave,Subscriber,Male,1988,1
172.217.10.238-10.42.0.42-80-59233-6,9075670,3/31/2022 15:13,3/31/2022 15:17,1967,186,286,Franklin St & Quincy St,174,Canal St & Madison St,Subscriber,Male,1983,1
10.42.0.211-117.121.27.10-55141-80-6,9075559,3/31/2022 14:59,3/31/2022 15:09,4748,640,76,Lake Shore Dr & Monroe St,35,Streeter Dr & Grand Ave,Customer,,1985,1
172.217.10.228-10.42.0.211-443-50946-6,9075505,3/31/2022 14:51,3/31/2022 15:08,2478,995,106,State St & Pearson St,75,Canal St & Jackson Blvd,Subscriber,Male,1958,1
180.149.134.221-10.42.0.211-80-42133-6,9075491,3/31/2022 14:50,3/31/2022 15:14,3562,1488,60,Dayton St & North Ave,291,Wells St & Evergreen Ave,Customer,,1985,1
172.217.6.208-10.42.0.151-443-58841-6,9075445,3/31/2022 14:39,3/31/2022 14:49,3035,603,36,Franklin St & Jackson Blvd,241,Morgan St & Polk St,Subscriber,Male,1960,0
10.42.0.211-104.88.88.137-55079-80-6,9075397,3/31/2022 14:34,3/31/2022 14:40,4194,354,194,Wabash Ave & Wacker Pl,43,Michigan Ave & Washington St,Customer,,1985,1
157.56.52.31-10.42.0.211-40015-60774-17,9075365,3/31/2022 14:29,3/31/2022 14:55,3658,1544,283,LaSalle St & Jackson Blvd,157,Lake Shore Dr & Wellington Ave,Subscriber,Male,1987,1
216.58.219.238-10.42.0.151-443-47095-6,9075285,3/31/2022 14:14,3/31/2022 14:17,1440,210,164,Franklin St & Lake St,98,LaSalle St & Washington St,Subscriber,Male,1990,1
203.205.158.53-10.42.0.151-80-54288-6,9075186,3/31/2022 14:04,3/31/2022 17:14,2605,11396,211,St. Clair St & Erie St,71,Morgan St & Lake St,Subscriber,Male,1980,0
10.42.0.1-10.42.0.42-53-33459-17,9074938,3/31/2022 13:33,3/31/2022 13:39,3401,360,175,Wells St & Polk St,414,Canal St & Taylor St,Subscriber,Male,1992,1
10.42.0.211-125.88.193.249-44799-80-6,9074876,3/31/2022 13:23,3/31/2022 13:24,262,66,352,Jeffery Blvd & 67th St,352,Jeffery Blvd & 67th St,Subscriber,Male,1985,0
172.217.10.78-10.42.0.151-443-43666-6,9074760,3/31/2022 13:05,3/31/2022 13:31,659,1570,24,Fairbanks Ct & Grand Ave,255,Indiana Ave & Roosevelt Rd,Customer,,1990,1
10.42.0.211-104.192.110.245-53759-443-6,9074592,3/31/2022 12:47,3/31/2022 14:19,3978,5478,172,Rush St & Cedar St,173,Mies van der Rohe Way & Chicago Ave,Customer,,1992,1
172.217.10.110-10.42.0.151-443-39787-6,9074571,3/31/2022 12:45,3/31/2022 12:50,506,315,81,Daley Center Plaza,52,Michigan Ave & Lake St,Subscriber,Female,1960,0
209.85.232.101-10.42.0.42-443-50330-6,9074469,3/31/2022 12:32,3/31/2022 12:40,424,470,164,Franklin St & Lake St,33,State St & Van Buren St,Subscriber,Male,1990,0
10.42.0.151-10.42.0.1-61863-53-17,9074087,3/31/2022 11:49,3/31/2022 11:54,2238,261,233,Sangamon St & Washington Blvd (*),77,Clinton St & Madison St,Subscriber,Male,1983,0
203.90.242.126-10.42.0.211-443-58944-6,9074062,3/31/2022 11:46,3/31/2022 11:54,2167,528,241,Morgan St & Polk St,75,Canal St & Jackson Blvd,Subscriber,Male,1952,0
10.42.0.211-36.110.210.167-48465-80-6,9074058,3/31/2022 11:45,3/31/2022 11:55,898,642,261,Hermitage Ave & Polk St,75,Canal St & Jackson Blvd,Subscriber,Male,1987,1
192.229.173.173-10.42.0.42-443-52966-6,9074038,3/31/2022 11:42,3/31/2022 11:51,2789,569,94,Clark St & Armitage Ave,93,Sheffield Ave & Willow St,Subscriber,Male,1982,0
10.42.0.211-47.93.76.169-58599-80-6,9073929,3/31/2022 11:30,3/31/2022 11:44,836,864,202,Halsted St & 18th St,146,Loomis St & Jackson Blvd,Subscriber,Male,1965,0
10.42.0.211-66.198.178.88-52100-80-6,9073868,3/31/2022 11:23,3/31/2022 12:05,3967,2556,52,Michigan Ave & Lake St,268,Lake Shore Dr & North Blvd,Customer,,1985,0
192.229.173.173-10.42.0.211-443-56203-6,9073838,3/31/2022 11:19,3/31/2022 11:25,2453,326,67,Sheffield Ave & Fullerton Ave,340,Clark St & Wrightwood Ave,Subscriber,Male,1966,1
10.42.0.42-104.192.110.245-45770-80-6,9073646,3/31/2022 10:52,3/31/2022 11:09,1059,991,47,State St & Kinzie St,214,Damen Ave & Grand Ave,Subscriber,Male,1981,0
182.22.31.252-10.42.0.211-443-54119-6,9073382,3/31/2022 10:14,3/31/2022 10:19,695,279,140,Dearborn Pkwy & Delaware Pl,173,Mies van der Rohe Way & Chicago Ave,Subscriber,Female,1988,0
172.217.10.106-10.42.0.151-443-57089-6,9073294,3/31/2022 9:58,3/31/2022 10:01,3735,169,287,Franklin St & Monroe St,91,Clinton St & Washington Blvd,Subscriber,Male,1974,0
172.217.12.202-10.42.0.151-443-50240-6,9073269,3/31/2022 9:54,3/31/2022 10:02,3141,451,282,Halsted St & Maxwell St,109,900 W Harrison St,Subscriber,Male,1979,0
10.42.0.1-10.42.0.42-53-22655-17,9073231,3/31/2022 9:45,3/31/2022 9:56,2885,633,252,Greenwood Ave & 47th St,328,Ellis Ave & 58th St,Subscriber,Female,1982,0
10.42.0.211-54.230.49.105-44390-443-6,9073016,3/31/2022 9:03,3/31/2022 9:25,2197,1302,247,Shore Dr & 55th St,200,MLK Jr Dr & 47th St,Subscriber,Male,1951,1
10.42.0.211-23.206.166.66-36054-80-6,9072965,3/31/2022 8:58,3/31/2022 9:10,3666,724,264,Stetson Ave & South Water St,111,Sedgwick St & Huron St,Subscriber,Female,1988,1
10.42.0.211-23.208.168.108-53992-443-6,9072779,3/31/2022 8:40,3/31/2022 8:53,3533,795,346,Ada St & Washington Blvd,33,State St & Van Buren St,Subscriber,Male,1985,0
10.42.0.211-10.42.0.1-34824-53-17,9072773,3/31/2022 8:39,3/31/2022 8:57,1519,1080,60,Dayton St & North Ave,75,Canal St & Jackson Blvd,Subscriber,Male,1981,0
10.42.0.151-64.71.142.124-36905-80-6,9072722,3/31/2022 8:36,3/31/2022 8:43,2592,422,212,Orleans St & Ohio St,66,Clinton St & Lake St,Subscriber,Male,1964,0
10.42.0.151-72.21.207.148-35456-443-6,9072517,3/31/2022 8:20,3/31/2022 8:41,2527,1255,210,Ashland Ave & Division St,116,Western Ave & Winnebago Ave,Customer,,1985,1
192.229.173.173-10.42.0.151-80-36074-6,9072377,3/31/2022 8:12,3/31/2022 8:22,3867,560,129,Blue Island Ave & 18th St,80,Aberdeen St & Monroe St,Subscriber,Female,1992,0
173.241.242.143-10.42.0.211-443-57422-6,9072229,3/31/2022 7:58,3/31/2022 8:02,4312,202,159,Claremont Ave & Hirsch St,69,Damen Ave & Pierce Ave,Subscriber,Male,1989,0
172.217.11.46-10.42.0.211-443-34850-6,9072129,3/31/2022 7:49,3/31/2022 7:56,596,449,91,Clinton St & Washington Blvd,53,Wells St & Huron St,Subscriber,Male,1980,1
10.42.0.151-10.42.0.1-55087-53-17,9071919,3/31/2022 7:27,3/31/2022 7:34,2520,413,133,Kingsbury St & Kinzie St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1978,0
198.105.244.11-10.42.0.151-80-48876-6,9071756,3/31/2022 7:07,3/31/2022 7:09,2527,147,30,Ashland Ave & Augusta Blvd,210,Ashland Ave & Division St,Subscriber,Female,1982,0
172.217.10.238-10.42.0.151-443-40607-17,9071710,3/31/2022 7:02,3/31/2022 7:05,1885,207,144,Larrabee St & Webster Ave,327,Sheffield Ave & Webster Ave,Subscriber,Female,1986,0
172.217.11.1-10.42.0.211-443-41543-6,9071619,3/31/2022 6:51,3/31/2022 6:58,4688,452,142,McClurg Ct & Erie St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1989,0
172.217.11.46-10.42.0.42-443-38660-6,9071555,3/31/2022 6:41,3/31/2022 6:53,4836,710,48,Larrabee St & Kingsbury St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1985,0
172.217.7.195-10.42.0.211-443-53429-6,9071501,3/31/2022 6:30,3/31/2022 6:37,1699,419,134,Peoria St & Jackson Blvd,77,Clinton St & Madison St,Subscriber,Female,1967,0
10.42.0.151-23.208.168.108-44167-443-6,9071412,3/31/2022 6:12,3/31/2022 6:20,484,451,77,Clinton St & Madison St,125,Rush St & Hubbard St,Subscriber,Female,1971,0
10.42.0.151-10.42.0.1-15111-53-17,9071306,3/31/2022 4:52,3/31/2022 4:59,2365,407,153,Southport Ave & Wellington Ave,230,Lincoln Ave & Roscoe St,Subscriber,Male,1957,0
10.42.0.1-10.42.0.42-53-63278-17,9071249,3/31/2022 0:16,3/31/2022 0:26,1433,590,292,Southport Ave & Clark St,463,Clark St & Berwyn Ave,Subscriber,Male,1967,0
174.35.73.98-10.42.0.151-80-55113-6,9071184,3/30/2022 23:06,3/30/2022 23:24,1770,1074,211,St. Clair St & Erie St,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1953,0
10.42.0.1-10.42.0.42-53-37682-17,9071161,3/30/2022 21:23,3/30/2022 21:40,1048,1033,20,Sheffield Ave & Kingsbury St,229,Southport Ave & Roscoe St,Subscriber,Male,1987,0
175.100.207.233-10.42.0.151-443-41402-6,9071125,3/30/2022 21:18,3/30/2022 21:30,2417,740,131,Lincoln Ave & Belmont Ave,143,Sedgwick St & Webster Ave,Subscriber,Female,1992,0
10.42.0.151-10.42.0.1-27652-53-17,9070963,3/30/2022 19:53,3/30/2022 20:04,4541,687,289,Wells St & Concord Ln,67,Sheffield Ave & Fullerton Ave,Subscriber,Female,1987,0
175.100.207.233-10.42.0.151-80-58183-6,9070951,3/30/2022 19:49,3/30/2022 19:52,387,200,107,Desplaines St & Jackson Blvd,198,Green St & Madison St,Subscriber,Male,1989,0
10.42.0.151-10.42.0.1-54723-53-17,9070898,3/30/2022 19:41,3/30/2022 19:51,2483,622,33,State St & Van Buren St,109,900 W Harrison St,Subscriber,Male,1984,1
172.217.10.78-10.42.0.211-443-42720-6,9070825,3/30/2022 19:27,3/30/2022 19:41,4682,843,107,Desplaines St & Jackson Blvd,320,Loomis St & Lexington St,Subscriber,Male,1987,1
183.79.248.124-10.42.0.211-443-40405-6,9070786,3/30/2022 19:19,3/30/2022 19:29,3702,623,81,Daley Center Plaza,110,Dearborn St & Erie St,Subscriber,Male,1963,0
203.205.179.172-10.42.0.211-80-54448-6,9070778,3/30/2022 19:16,3/30/2022 19:22,644,390,120,Wentworth Ave & Archer Ave,370,Calumet Ave & 21st St,Subscriber,Male,1976,0
183.57.48.84-10.42.0.211-80-33903-6,9070748,3/30/2022 19:07,3/30/2022 19:32,60,1485,31,Franklin St & Chicago Ave,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1986,1
10.42.0.42-23.208.156.9-55629-443-6,9070710,3/30/2022 18:59,3/30/2022 19:06,378,410,112,Green St & Randolph St,146,Loomis St & Jackson Blvd,Subscriber,Female,1992,0
202.77.129.150-10.42.0.211-443-54759-6,9070656,3/30/2022 18:51,3/30/2022 19:02,3295,638,255,Indiana Ave & Roosevelt Rd,147,Indiana Ave & 26th St,Subscriber,Male,1980,1
8.0.6.4-8.6.0.1-0-0-0,9070578,3/30/2022 18:32,3/30/2022 18:38,226,330,51,Clark St & Randolph St,36,Franklin St & Jackson Blvd,Subscriber,Male,1988,1
172.217.9.234-10.42.0.211-443-60978-6,9070555,3/30/2022 18:28,3/30/2022 18:30,4473,140,420,Ellis Ave & 55th St,248,Woodlawn Ave & 55th St,Subscriber,Male,1985,1
202.77.129.150-10.42.0.211-80-56649-6,9070451,3/30/2022 18:17,3/30/2022 18:23,4033,361,13,Wilton Ave & Diversey Pkwy,329,Lake Shore Dr & Diversey Pkwy,Subscriber,Male,1976,0
205.185.216.10-10.42.0.211-80-40656-6,9070337,3/30/2022 18:08,3/30/2022 18:24,1088,963,383,Ashland Ave & Harrison St,77,Clinton St & Madison St,Subscriber,Male,1944,0
10.42.0.211-31.13.65.52-51004-443-6,9070014,3/30/2022 17:44,3/30/2022 17:54,128,594,48,Larrabee St & Kingsbury St,192,Canal St & Adams St,Subscriber,Male,1989,0
202.77.129.146-10.42.0.211-80-46446-6,9069966,3/30/2022 17:40,3/30/2022 17:59,2440,1134,7,Field Blvd & South Water St,177,Theater on the Lake,Subscriber,Male,1987,1
